NCO|documentStart|2020-12-03|10:55:12|user01|End
NCO|documentCheck|principleID|NDI|End
NCO|documentCheck|distributorID|B0006|End
NCO|documentCheck|distributorName|PT. BERKAH RAYA|End
NCO|documentCheck|branchName|TANGERANG|End
NCO|documentCheck|fromDate|2020-07-19|End
NCO|documentCheck|thruDate|2020-07-22|End
NCO|documentCheck|version|A01.30.00|End
NCO|documentCheck|productmasterversion||End
NCO|documentCheck|gromartMerchantID||End
NCO|documentCheck|companyID|NS6083010001517|End
NCO|documentCheck|branchID|1522203109974|End
NCO|documentCheck|nd6closeddate|2020-07-21|End
NCO|distributorproduct|attribute|productCode|principalProductCode|productName|productPackaging|uom1|uom2|uom3|uom4|conversion1to4|conversion2to4|conversion3to4|productStatus|buyingPrice|sellingPrice|nexchiefRatio|divisonID|vendorID|End
NCO|distributorproduct|value|MXD415|MXD415|Aina Assorted 12|12x250Gr|krt|tin|pcs|PCS|12|1|1|A|60478.0|68727.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD403|MXD403|Aina Bitter Cookies|18x20Gr|krt|pcs|pcs|PCS|18|1|1|A|54684.0|62000.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD330|MXD330|Aina Coconut|8 x  5 x 140|krt|bag|pcs|PCS|40|5|1|A|67353.0|76364.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD4071|MXD4071|Aina micky mimi coklat|12 x 10 x 14|krt|pak|pcs|PCS|120|10|1|A|25497.0|28909.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD115|MXD115|Aina Milk Choco Wafer Crm|16 X 10 X 12Gr|krt|bag|pcs|PCS|160|10|1|A|37285.0|42273.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1078|WB-WKJ-30|Apillo  Block Wafer  Keju 30|3 X 10 X 80|KRT|BAG|PCS|PCS|30|10|1|A|51717.27|58636.36|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD113|MXD113|Apillo 2 in 1|20 x  8 x 12|krt|bag|pcs|PCS|160|8|1|A|57330.0|65000.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD103PR|MXD103PR|Apillo 2 in 1|6x60x12Gr|krt|jar|pcs|PCS|360|60|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10144|MXD10144|Apillo 2 in1 cho-milk|6 x 64 x 8|krt|jar|pcs|PCS|384|64|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD430|APL-MIX-6|Apillo 2in 1 Mixed Wafer|6 x 350|krt|tin|pcs|PCS|6|1|1|A|109920.0|124909.09|1.0|1522217674091|001|End
